Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 5 (N) Cast C	8	62	1					95	gld	271	Act 5 (N) Equip C	226	Act 5 (N) Junk	271	Act 5 (N) Good	30	Act 5 (N) Magic B	105														0
Act 1 (H) Cast A	8	63	1					95	gld	271	Act 1 (H) Equip A	226	Act 1 (H) Junk	271	Act 1 (H) Good	30	Act 1 (H) Magic A	105														0
Act 1 (H) Cast B	8	66	1					95	gld	271	Act 1 (H) Equip B	226	Act 1 (H) Junk	271	Act 1 (H) Good	30	Act 1 (H) Magic B	105														0
Act 1 (H) Cast C	8	68	1					95	gld	271	Act 1 (H) Equip B	226	Act 1 (H) Junk	271	Act 1 (H) Good	30	Act 1 (H) Magic B	105														0
Act 2 (H) Cast A	8	69	1					95	gld	271	Act 2 (H) Equip A	226	Act 1 (H) Junk	271	Act 2 (H) Good	30	Act 2 (H) Magic A	105														0
Act 2 (H) Cast B	8	71	1					95	gld	271	Act 2 (H) Equip B	226	Act 1 (H) Junk	271	Act 2 (H) Good	30	Act 2 (H) Magic B	105														0
Act 2 (H) Cast C	8	72	1					95	gld	271	Act 2 (H) Equip B	226	Act 1 (H) Junk	271	Act 2 (H) Good	30	Act 2 (H) Magic B	105														0
Act 3 (H) Cast A	8	74	1					95	gld	271	Act 3 (H) Equip A	226	Act 1 (H) Junk	271	Act 3 (H) Good	30	Act 3 (H) Magic A	105														0
Act 3 (H) Cast B	8	75	1					95	gld	271	Act 3 (H) Equip B	226	Act 1 (H) Junk	271	Act 3 (H) Good	30	Act 3 (H) Magic B	105														0
Act 3 (H) Cast C	8	77	1					95	gld	271	Act 3 (H) Equip B	226	Act 1 (H) Junk	271	Act 3 (H) Good	30	Act 3 (H) Magic B	105														0
Act 4 (H) Cast A	8	78	1					95	gld	271	Act 4 (H) Equip A	226	Act 1 (H) Junk	271	Act 4 (H) Good	30	Act 4 (H) Magic A	105														0
Act 4 (H) Cast B	8	80	1					95	gld	271	Act 4 (H) Equip B	226	Act 1 (H) Junk	271	Act 4 (H) Good	30	Act 4 (H) Magic B	105														0
Act 5 (H) Cast A	8	81	1					95	gld	271	Act 5 (H) Equip A	226	Act 1 (H) Junk	271	Act 5 (H) Good	30	Act 5 (H) Magic A	105														0
Act 5 (H) Cast B	8	83	1					95	gld	271	Act 5 (H) Equip B	226	Act 1 (H) Junk	271	Act 5 (H) Good	30	Act 5 (H) Magic B	105														0
Act 5 (H) Cast C	8	85	1					95	gld	271	Act 5 (H) Equip C	226	Act 1 (H) Junk	271	Act 5 (H) Good	30	Act 5 (H) Magic B	105														0
Map Cast t1	22	85	1					95	gld	271	Act 5 (H) Equip C	226	Act 1 (H) Junk	271	Map Good t1	30	Act 5 (H) Magic B	105														0
Map Cast t2	22	85	1					95	gld	271	Act 5 (H) Equip C	226	Act 1 (H) Junk	271	Map Good t2	30	Act 5 (H) Magic B	105														0
Map Cast t3	22	85	1					95	gld	271	Act 5 (H) Equip C	226	Act 1 (H) Junk	271	Map Good t3	30	Act 5 (H) Magic B	105														0
Act 1 Miss A	9	0	1					95	gld	271	Act 1 Equip A	196	Act 1 Junk	271	Act 1 Good	30	Act 1 Bow A	90	Ammo	20												0
Act 1 Miss B	9	5	1					95	gld	271	Act 1 Equip B	196	Act 1 Junk	271	Act 1 Good	30	Act 1 Bow B	90	Ammo	20												0
Act 1 Miss C	9	9	1					95	gld	271	Act 1 Equip C	196	Act 1 Junk	271	Act 1 Good	30	Act 1 Bow C	90	Ammo	20												0
Act 2 Miss A	9	12	1					95	gld	271	Act 2 Equip A	196	Act 2 Junk	271	Act 2 Good	30	Act 2 Bow A	90	Ammo	20												0
Act 2 Miss B	9	15	1					95	gld	271	Act 2 Equip B	196	Act 2 Junk	271	Act 2 Good	30	Act 2 Bow B	90	Ammo	20												0
Act 2 Miss C	9	18	1					95	gld	271	Act 2 Equip C	196	Act 2 Junk	271	Act 3 Good	30	Act 2 Bow C	90	Ammo	20												0
Act 3 Miss A	9	20	1					95	gld	271	Act 3 Equip A	196	Act 3 Junk	271	Act 3 Good	30	Act 3 Bow A	90	Ammo	20												0
Act 3 Miss B	9	22	1					95	gld	271	Act 3 Equip B	196	Act 3 Junk	271	Act 3 Good	30	Act 3 Bow B	90	Ammo	20												0
Act 3 Miss C	9	24	1					95	gld	271	Act 3 Equip C	196	Act 3 Junk	271	Act 3 Good	30	Act 3 Bow C	90	Ammo	20												0
Act 4 Miss A	9	26	1					95	gld	271	Act 4 Equip A	196	Act 4 Junk	271	Act 4 Good	30	Act 4 Bow A	90	Ammo	20												0
Act 4 Miss B	9	29	1					95	gld	271	Act 4 Equip B	196	Act 4 Junk	271	Act 4 Good	30	Act 4 Bow B	90	Ammo	20												0
Act 5 Miss A	9	32	1					95	gld	271	Act 5 Equip A	196	Act 5 Junk	271	Act 5 Good	30	Act 5 Bow A	90	Ammo	20												0
Act 5 Miss B	9	34	1					95	gld	271	Act 5 Equip B	196	Act 5 Junk	271	Act 5 Good	30	Act 5 Bow B	90	Ammo	20												0
Act 5 Miss C	9	36	1					95	gld	271	Act 5 Equip C	196	Act 5 Junk	271	Act 5 Good	30	Act 5 Bow B	90	Ammo	20												0
Act 1 (N) Miss A	9	38	1					95	gld	271	Act 1 (N) Equip A	196	Act 1 (N) Junk	271	Act 1 (N) Good	30	Act 1 (N) Bow A	90	Ammo(N)	20												0
Act 1 (N) Miss B	9	40	1					95	gld	271	Act 1 (N) Equip B	196	Act 1 (N) Junk	271	Act 1 (N) Good	30	Act 1 (N) Bow B	90	Ammo(N)	20												0
Act 1 (N) Miss C	9	41	1					95	gld	271	Act 1 (N) Equip B	196	Act 1 (N) Junk	271	Act 1 (N) Good	30	Act 1 (N) Bow B	90	Ammo(N)	20												0
Act 2 (N) Miss A	9	42	1					95	gld	271	Act 2 (N) Equip A	196	Act 2 (N) Junk	271	Act 2 (N) Good	30	Act 2 (N) Bow A	90	Ammo(N)	20												0
Act 2 (N) Miss B	9	44	1					95	gld	271	Act 2 (N) Equip B	196	Act 2 (N) Junk	271	Act 2 (N) Good	30	Act 2 (N) Bow B	90	Ammo(N)	20												0
Act 2 (N) Miss C	9	45	1					95	gld	271	Act 2 (N) Equip B	196	Act 2 (N) Junk	271	Act 2 (N) Good	30	Act 2 (N) Bow B	90	Ammo(N)	20												0
Act 3 (N) Miss A	9	46	1					95	gld	271	Act 3 (N) Equip A	196	Act 3 (N) Junk	271	Act 3 (N) Good	30	Act 3 (N) Bow A	90	Ammo(N)	20												0
Act 3 (N) Miss B	9	48	1					95	gld	271	Act 3 (N) Equip B	196	Act 3 (N) Junk	271	Act 3 (N) Good	30	Act 3 (N) Bow B	90	Ammo(N)	20												0
Act 3 (N) Miss C	9	50	1					95	gld	271	Act 3 (N) Equip B	196	Act 3 (N) Junk	271	Act 3 (N) Good	30	Act 3 (N) Bow B	90	Ammo(N)	20												0
Act 4 (N) Miss A	9	51	1					95	gld	271	Act 4 (N) Equip A	196	Act 4 (N) Junk	271	Act 4 (N) Good	30	Act 4 (N) Bow A	90	Ammo(N)	20												0
Act 4 (N) Miss B	9	54	1					95	gld	271	Act 4 (N) Equip B	196	Act 4 (N) Junk	271	Act 4 (N) Good	30	Act 4 (N) Bow B	90	Ammo(N)	20												0
Act 5 (N) Miss A	9	57	1					95	gld	271	Act 5 (N) Equip A	196	Act 5 (N) Junk	271	Act 5 (N) Good	30	Act 5 (N) Bow A	90	Ammo(N)	20												0
Act 5 (N) Miss B	9	60	1					95	gld	271	Act 5 (N) Equip B	196	Act 5 (N) Junk	271	Act 5 (N) Good	30	Act 5 (N) Bow B	90	Ammo(N)	20												0
Act 5 (N) Miss C	9	62	1					95	gld	271	Act 5 (N) Equip C	196	Act 5 (N) Junk	271	Act 5 (N) Good	30	Act 5 (N) Bow B	90	Ammo(N)	20												0
Act 1 (H) Miss A	9	63	1					95	gld	271	Act 1 (H) Equip A	196	Act 1 (H) Junk	271	Act 1 (H) Good	30	Act 1 (H) Bow A	90	Ammo(H)	20												0
Act 1 (H) Miss B	9	66	1					95	gld	271	Act 1 (H) Equip B	196	Act 1 (H) Junk	271	Act 1 (H) Good	30	Act 1 (H) Bow B	90	Ammo(H)	20												0
Act 1 (H) Miss C	9	68	1					95	gld	271	Act 1 (H) Equip B	196	Act 1 (H) Junk	271	Act 1 (H) Good	30	Act 1 (H) Bow B	90	Ammo(H)	20												0
Act 2 (H) Miss A	9	69	1					95	gld	271	Act 2 (H) Equip A	196	Act 1 (H) Junk	271	Act 2 (H) Good	30	Act 2 (H) Bow A	90	Ammo(H)	20												0
Act 2 (H) Miss B	9	71	1					95	gld	271	Act 2 (H) Equip B	196	Act 1 (H) Junk	271	Act 2 (H) Good	30	Act 2 (H) Bow B	90	Ammo(H)	20												0
Act 2 (H) Miss C	9	72	1					95	gld	271	Act 2 (H) Equip B	196	Act 1 (H) Junk	271	Act 2 (H) Good	30	Act 2 (H) Bow B	90	Ammo(H)	20												0
Act 3 (H) Miss A	9	74	1					95	gld	271	Act 3 (H) Equip A	196	Act 1 (H) Junk	271	Act 3 (H) Good	30	Act 3 (H) Bow A	90	Ammo(H)	20												0
Act 3 (H) Miss B	9	75	1					95	gld	271	Act 3 (H) Equip B	196	Act 1 (H) Junk	271	Act 3 (H) Good	30	Act 3 (H) Bow B	90	Ammo(H)	20												0
Act 3 (H) Miss C	9	77	1					95	gld	271	Act 3 (H) Equip B	196	Act 1 (H) Junk	271	Act 3 (H) Good	30	Act 3 (H) Bow B	90	Ammo(H)	20												0
Act 4 (H) Miss A	9	78	1					95	gld	271	Act 4 (H) Equip A	196	Act 1 (H) Junk	271	Act 4 (H) Good	30	Act 4 (H) Bow A	90	Ammo(H)	20												0
Act 4 (H) Miss B	9	80	1					95	gld	271	Act 4 (H) Equip B	196	Act 1 (H) Junk	271	Act 4 (H) Good	30	Act 4 (H) Bow B	90	Ammo(H)	20												0
Act 5 (H) Miss A	9	81	1					95	gld	271	Act 5 (H) Equip A	196	Act 1 (H) Junk	271	Act 5 (H) Good	30	Act 5 (H) Bow A	90	Ammo(H)	20												0
Act 5 (H) Miss B	9	83	1					95	gld	271	Act 5 (H) Equip B	196	Act 1 (H) Junk	271	Act 5 (H) Good	30	Act 5 (H) Bow B	90	Ammo(H)	20												0
Act 5 (H) Miss C	9	85	1					95	gld	271	Act 5 (H) Equip C	196	Act 1 (H) Junk	271	Act 5 (H) Good	30	Act 5 (H) Bow B	90	Ammo(H)	20												0
Map Miss t1	23	85	1					95	gld	271	Act 5 (H) Equip C	196	Act 1 (H) Junk	271	Map Good t1	30	Act 5 (H) Bow B	90	Ammo(H)	40												0
Map Miss t2	23	85	1					95	gld	271	Act 5 (H) Equip C	196	Act 1 (H) Junk	271	Map Good t2	30	Act 5 (H) Bow B	90	Ammo(H)	40												0
Map Miss t3	23	85	1					95	gld	271	Act 5 (H) Equip C	196	Act 1 (H) Junk	271	Map Good t3	30	Act 5 (H) Bow B	90	Ammo(H)	40												0
Act 1 Wraith A	10	0	1					195	Act 1 Good	111	Act 1 Magic A	693																				0
Act 1 Wraith B	10	5	1					195	Act 1 Good	111	Act 1 Magic B	693																				0
Act 1 Wraith C	10	9	1					195	Act 1 Good	111	Act 1 Magic C	693																				0
Act 2 Wraith A	10	12	1					195	Act 2 Good	111	Act 2 Magic A	693																				0
Act 2 Wraith B	10	15	1					195	Act 2 Good	111	Act 2 Magic B	693																				0
Act 2 Wraith C	10	18	1					195	Act 3 Good	111	Act 2 Magic C	693																				0
Act 3 Wraith A	10	20	1					195	Act 3 Good	111	Act 3 Magic A	693																				0
Act 3 Wraith B	10	22	1					195	Act 3 Good	111	Act 3 Magic B	693																				0
Act 3 Wraith C	10	24	1					195	Act 3 Good	111	Act 3 Magic C	693																				0
Act 4 Wraith A	10	26	1					195	Act 4 Good	111	Act 4 Magic A	693																				0
Act 4 Wraith B	10	29	1					195	Act 4 Good	111	Act 4 Magic B	693																				0
Act 5 Wraith A	10	32	1					195	Act 5 Good	111	Act 5 Magic A	693																				0
Act 5 Wraith B	10	34	1					195	Act 5 Good	111	Act 5 Magic B	693																				0
Act 5 Wraith C	10	36	1					195	Act 5 Good	111	Act 5 Magic C	693																				0
Act 1 (N) Wraith A	10	38	1					195	Act 1 (N) Good	111	Act 1 (N) Magic A	693																				0
Act 1 (N) Wraith B	10	40	1					195	Act 1 (N) Good	111	Act 1 (N) Magic B	693																				0
Act 1 (N) Wraith C	10	41	1					195	Act 1 (N) Good	111	Act 1 (N) Magic B	693																				0
Act 2 (N) Wraith A	10	42	1					195	Act 2 (N) Good	111	Act 2 (N) Magic A	693																				0
Act 2 (N) Wraith B	10	44	1					195	Act 2 (N) Good	111	Act 2 (N) Magic B	693																				0
Act 2 (N) Wraith C	10	45	1					195	Act 2 (N) Good	111	Act 2 (N) Magic B	693																				0
Act 3 (N) Wraith A	10	46	1					195	Act 3 (N) Good	111	Act 3 (N) Magic A	693																				0
Act 3 (N) Wraith B	10	48	1					195	Act 3 (N) Good	111	Act 3 (N) Magic B	693																				0
Act 3 (N) Wraith C	10	50	1					195	Act 3 (N) Good	111	Act 3 (N) Magic B	693																				0
Act 4 (N) Wraith A	10	51	1					195	Act 4 (N) Good	111	Act 4 (N) Magic A	693																				0
Act 4 (N) Wraith B	10	54	1					195	Act 4 (N) Good	111	Act 4 (N) Magic B	693																				0
Act 5 (N) Wraith A	10	57	1					195	Act 5 (N) Good	111	Act 5 (N) Magic A	693																				0
Act 5 (N) Wraith B	10	60	1					195	Act 5 (N) Good	111	Act 5 (N) Magic B	693																				0
Act 5 (N) Wraith C	10	62	1					195	Act 5 (N) Good	111	Act 5 (N) Magic C	693																				0
Act 1 (H) Wraith A	10	63	1					195	Act 1 (H) Good	111	Act 1 (H) Magic A	693																				0
Act 1 (H) Wraith B	10	66	1					195	Act 1 (H) Good	111	Act 1 (H) Magic B	693																				0
Act 1 (H) Wraith C	10	68	1					195	Act 1 (H) Good	111	Act 1 (H) Magic B	693																				0
Act 2 (H) Wraith A	10	69	1					195	Act 2 (H) Good	111	Act 2 (H) Magic A	693																				0
Act 2 (H) Wraith B	10	71	1					195	Act 2 (H) Good	111	Act 2 (H) Magic B	693																				0
Act 2 (H) Wraith C	10	72	1					195	Act 2 (H) Good	111	Act 2 (H) Magic B	693																				0
Act 3 (H) Wraith A	10	74	1					195	Act 3 (H) Good	111	Act 3 (H) Magic A	693																				0
Act 3 (H) Wraith B	10	75	1					195	Act 3 (H) Good	111	Act 3 (H) Magic B	693																				0
Act 3 (H) Wraith C	10	77	1					195	Act 3 (H) Good	111	Act 3 (H) Magic B	693																				0
Act 4 (H) Wraith A	10	78	1					195	Act 4 (H) Good	111	Act 4 (H) Magic A	693																				0
Act 4 (H) Wraith B	10	80	1					195	Act 4 (H) Good	111	Act 4 (H) Magic B	693																				0
Act 5 (H) Wraith A	10	81	1					195	Act 5 (H) Good	111	Act 5 (H) Magic A	693																				0
Act 5 (H) Wraith B	10	83	1					195	Act 5 (H) Good	111	Act 5 (H) Magic B	693																				0
Act 5 (H) Wraith C	10	85	1					195	Act 5 (H) Good	111	Act 5 (H) Magic C	693																				0
Map Wraith t1	24	85	1					195	Map Good t1	40	Act 5 (H) Magic C	693	Act 1 (H) Junk	271																		0
Map Wraith t2	24	85	1					195	Map Good t2	40	Act 5 (H) Magic C	693	Act 1 (H) Junk	271																		0
Map Wraith t3	24	85	1					195	Map Good t3	40	Act 5 (H) Magic C	693	Act 1 (H) Junk	271																		0
Act 1 Citem A	11	0	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 Equip A	37	Act 1 Good	3																		0
Act 1 Citem B	11	5	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 Equip B	37	Act 1 Good	3																		0
Act 1 Citem C	11	9	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 Equip C	37	Act 1 Good	3																		0
Act 2 Citem A	11	12	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 Equip A	37	Act 2 Good	3																		0
Act 2 Citem B	11	15	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 Equip B	37	Act 2 Good	3																		0
Act 2 Citem C	11	18	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 Equip C	37	Act 3 Good	3																		0
Act 3 Citem A	11	20	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 Equip A	37	Act 3 Good	3																		0
Act 3 Citem B	11	22	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 Equip B	37	Act 3 Good	3																		0
Act 3 Citem C	11	24	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 Equip C	37	Act 3 Good	3																		0
Act 4 Citem A	11	26	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 Equip A	37	Act 4 Good	3																		0
Act 4 Citem B	11	29	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 Equip B	37	Act 4 Good	3																		0
Act 5 Citem A	11	32	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 Equip A	37	Act 5 Good	3																		0
Act 5 Citem B	11	34	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 Equip B	37	Act 5 Good	3																		0
Act 5 Citem C	11	36	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 Equip C	37	Act 5 Good	3																		0
Act 1 (N) Citem A	11	38	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (N) Equip A	37	Act 1 (N) Good	3																		0
Act 1 (N) Citem B	11	40	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (N) Equip B	37	Act 1 (N) Good	3																		0
Act 1 (N) Citem C	11	41	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (N) Equip B	37	Act 1 (N) Good	3																		0
Act 2 (N) Citem A	11	42	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (N) Equip A	37	Act 2 (N) Good	3																		0
Act 2 (N) Citem B	11	44	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (N) Equip B	37	Act 2 (N) Good	3																		0
Act 2 (N) Citem C	11	45	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (N) Equip B	37	Act 2 (N) Good	3																		0
Act 3 (N) Citem A	11	46	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (N) Equip A	37	Act 3 (N) Good	3																		0
Act 3 (N) Citem B	11	48	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (N) Equip B	37	Act 3 (N) Good	3																		0
Act 3 (N) Citem C	11	50	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (N) Equip B	37	Act 3 (N) Good	3																		0
Act 4 (N) Citem A	11	51	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (N) Equip A	37	Act 4 (N) Good	3																		0
Act 4 (N) Citem B	11	54	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (N) Equip B	37	Act 4 (N) Good	3																		0
Act 5 (N) Citem A	11	57	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (N) Equip A	37	Act 5 (N) Good	3																		0
Act 5 (N) Citem B	11	60	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (N) Equip B	37	Act 5 (N) Good	3																		0
Act 5 (N) Citem C	11	62	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (N) Equip C	37	Act 5 (N) Good	3																		0
Act 1 (H) Citem A	11	63	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (H) Equip A	37	Act 1 (H) Good	3																		0
Act 1 (H) Citem B	11	66	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (H) Equip B	37	Act 1 (H) Good	3																		0
Act 1 (H) Citem C	11	68	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (H) Equip B	37	Act 1 (H) Good	3																		0
Act 2 (H) Citem A	11	69	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (H) Equip A	37	Act 2 (H) Good	3																		0
Act 2 (H) Citem B	11	71	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (H) Equip B	37	Act 2 (H) Good	3																		0
Act 2 (H) Citem C	11	72	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (H) Equip B	37	Act 2 (H) Good	3																		0
Act 3 (H) Citem A	11	74	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (H) Equip A	37	Act 3 (H) Good	3																		0
Act 3 (H) Citem B	11	75	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (H) Equip B	37	Act 3 (H) Good	3																		0
Act 3 (H) Citem C	11	77	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (H) Equip B	37	Act 3 (H) Good	3																		0
Act 4 (H) Citem A	11	78	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (H) Equip A	37	Act 4 (H) Good	3																		0
Act 4 (H) Citem B	11	80	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (H) Equip B	37	Act 4 (H) Good	3																		0
Act 5 (H) Citem A	11	81	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip A	37	Act 5 (H) Good	3																		0
Act 5 (H) Citem B	11	83	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip B	37	Act 5 (H) Good	3																		0
Act 5 (H) Citem C	11	85	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip C	37	Act 5 (H) Good	3																		0
Map Citem t1	25	85	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip C	37	Map Good t1	4																		0
Map Citem t2	25	85	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip C	37	Map Good t2	4																		0
Map Citem t3	25	85	1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip C	37	Map Good t3	4																		0
Act 1 Cpot A	12	0	2					0	Hpotion 1	1																						0
Act 1 Cpot B	12	5	2					0	Hpotion 1	1																						0
Act 1 Cpot C	12	9	2					0	Hpotion 1	1																						0
Act 2 Cpot A	12	12	2					0	Hpotion 2	1																						0
Act 2 Cpot B	12	15	2					0	Hpotion 2	1																						0
Act 2 Cpot C	12	18	2					0	Hpotion 2	1																						0
Act 3 Cpot A	12	20	2					0	Hpotion 3	1																						0
Act 3 Cpot B	12	22	2					0	Hpotion 3	1																						0
Act 3 Cpot C	12	24	2					0	Hpotion 3	1																						0
Act 4 Cpot A	12	26	2					0	Hpotion 3	1	Hpotion 4	2																				0
Act 4 Cpot B	12	29	2					0	Hpotion 3	1	Hpotion 4	2																				0
Act 5 Cpot A	12	32	2					0	Hpotion 4	1	Hpotion 5	2																				0
Act 5 Cpot B	12	34	2					0	Hpotion 4	1	Hpotion 5	2																				0
Act 5 Cpot C	12	36	2					0	Hpotion 4	1	Hpotion 5	2																				0
Act 1 (N) Cpot A	12	38	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4																		0
Act 1 (N) Cpot B	12	40	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 1 (N) Cpot C	12	41	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 2 (N) Cpot A	12	42	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 2 (N) Cpot B	12	44	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 2 (N) Cpot C	12	45	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 3 (N) Cpot A	12	46	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (N) Cpot B	12	48	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (N) Cpot C	12	50	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 4 (N) Cpot A	12	51	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 4 (N) Cpot B	12	54	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (N) Cpot A	12	57	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (N) Cpot B	12	60	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (N) Cpot C	12	62	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 1 (H) Cpot A	12	63	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 1 (H) Cpot B	12	66	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 1 (H) Cpot C	12	68	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 2 (H) Cpot A	12	69	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 2 (H) Cpot B	12	71	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 2 (H) Cpot C	12	72	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (H) Cpot A	12	74	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (H) Cpot B	12	75	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (H) Cpot C	12	77	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 4 (H) Cpot A	12	78	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 4 (H) Cpot B	12	80	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (H) Cpot A	12	81	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (H) Cpot B	12	83	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (H) Cpot C	12	85	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 1 Champ A	13	0	-2					0	Act 1 Citem A	1	Act 1 Cpot A	2																				0
Act 1 Champ B	13	5	-2					0	Act 1 Citem B	1	Act 1 Cpot B	1																				0
Act 1 Champ C	13	9	-2					0	Act 1 Citem C	1	Act 1 Cpot C	1																				0
Act 2 Champ A	13	12	-2					0	Act 2 Citem A	1	Act 2 Cpot A	1																				0
Act 2 Champ B	13	15	-2					0	Act 2 Citem B	1	Act 2 Cpot B	1																				0
Act 2 Champ C	13	18	-2					0	Act 2 Citem C	1	Act 2 Cpot C	1																				0
Act 3 Champ A	13	20	-2					0	Act 3 Citem A	1	Act 3 Cpot A	1																				0
Act 3 Champ B	13	22	-2					0	Act 3 Citem B	1	Act 3 Cpot B	1																				0
Act 3 Champ C	13	24	-2					0	Act 3 Citem C	1	Act 3 Cpot C	1																				0
Act 4 Champ A	13	26	-2					0	Act 4 Citem A	1	Act 4 Cpot A	1																				0
Act 4 Champ B	13	29	-2					0	Act 4 Citem B	1	Act 4 Cpot B	1																				0
Act 5 Champ A	13	32	-2					0	Act 5 Citem A	1	Act 5 Cpot A	1																				0
Act 5 Champ B	13	34	-2					0	Act 5 Citem B	1	Act 5 Cpot B	1																				0
Act 5 Champ C	13	36	-2					0	Act 5 Citem C	1	Act 5 Cpot C	1																				0
