description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
																																																																																																								0
ASCEND TO TIER 1 - Necromancer																																																																																																								0
Ascend to Bloodmage	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Bloodmage						useitem			100	nec	100		2	2	vit	100		30	30	enr	100		30	30	ascendancy-tier-display	100	1438	1	1	levelreq	100		19	19																																																											0
Ascend to Chronomancer	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Chronomancer						useitem			100	nec	100		2	2	cast3	100		20	20	swing3	100		20	20	ascendancy-tier-display	100	1439	5	5	levelreq	100		19	19																																																											0
Ascend to Juggernaut	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Juggernaut						useitem			100	nec	100		2	2	str	100		40	40	dex	100		40	40	ascendancy-tier-display	100	1440	9	9	levelreq	100		19	19																																																											0
Ascend to Hierophant	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Hierophant						useitem			100	nec	100		2	2	mana	100		100	100	regen-mana	100		200	200	ascendancy-tier-display	100	1441	13	13	levelreq	100		19	19																																																											0
Ascend to Berserker	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Berserker						useitem			100	nec	100		2	2	str	100		40	40	vit	100		40	40	ascendancy-tier-display	100	1442	17	17	levelreq	100		19	19																																																											0
Ascend to Elementalist	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Elementalist						useitem			100	nec	100		2	2	enr	100		40	40	cast3	100		25	25	ascendancy-tier-display	100	1443	21	21	levelreq	100		19	19																																																											0
Ascend to Occultist	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Occultist						useitem			100	nec	100		2	2	curse-effect	100		10	10	enr	100		30	30	ascendancy-tier-display	100	1444	25	25	levelreq	100		19	19																																																											0
Ascend to Guardian	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Guardian						useitem			100	nec	100		2	2	str	100		30	30	ac	100		150	150	ascendancy-tier-display	100	1445	29	29	levelreq	100		19	19																																																											0
Ascend to Lich	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Lich						useitem			100	nec	100		2	2	str	100		30	30	vit	100		30	30	ascendancy-tier-display	100	1446	33	33	levelreq	100		19	19																																																											0
Ascend to Pathfinder	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Pathfinder						useitem			100	nec	100		2	2	res-pois	100		40	40	vit	100		30	30	ascendancy-tier-display	100	1447	37	37	levelreq	100		19	19																																																											0
Ascend to Spirit Walker	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Spirit Walker						useitem			100	nec	100		2	2	red-dmg%	100		10	10	vit	100		30	30	ascendancy-tier-display	100	1448	41	41	levelreq	100		19	19																																																											0
Ascend to Deadeye	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Deadeye						useitem			100	nec	100		2	2	att	100		250	250	dex	100		30	30	ascendancy-tier-display	100	1449	45	45	levelreq	100		19	19																																																											0
Ascend to Chieftain	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Chieftain						useitem			100	nec	100		2	2	vit	100		50	50						ascendancy-tier-display	100	1461	49	49	levelreq	100		19	19																																																											0
Ascend to Saboteur	1			100	18	296	0	nec	2	Ascendancy Cairn	Ascend to Saboteur						useitem			100	nec	100		2	2	vit	100		30	30	regen-mana	100		100	100	ascendancy-tier-display	100	1990	53	53	levelreq	100		19	19																																																											0
																																																																																																								0
ASCEND TO TIER 1 - Sorceress																																																																																																								0
Ascend to Bloodmage	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Bloodmage						useitem			100	sor	100		2	2	vit	100		30	30	enr	100		30	30	ascendancy-tier-display	100	1438	1	1	levelreq	100		19	19																																																											0
Ascend to Chronomancer	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Chronomancer						useitem			100	sor	100		2	2	cast3	100		20	20	swing3	100		20	20	ascendancy-tier-display	100	1439	5	5	levelreq	100		19	19																																																											0
Ascend to Juggernaut	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Juggernaut						useitem			100	sor	100		2	2	str	100		40	40	dex	100		40	40	ascendancy-tier-display	100	1440	9	9	levelreq	100		19	19																																																											0
Ascend to Hierophant	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Hierophant						useitem			100	sor	100		2	2	mana	100		100	100	regen-mana	100		200	200	ascendancy-tier-display	100	1441	13	13	levelreq	100		19	19																																																											0
Ascend to Berserker	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Berserker						useitem			100	sor	100		2	2	str	100		40	40	vit	100		40	40	ascendancy-tier-display	100	1442	17	17	levelreq	100		19	19																																																											0
Ascend to Elementalist	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Elementalist						useitem			100	sor	100		2	2	enr	100		40	40	cast3	100		25	25	ascendancy-tier-display	100	1443	21	21	levelreq	100		19	19																																																											0
Ascend to Occultist	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Occultist						useitem			100	sor	100		2	2	curse-effect	100		10	10	enr	100		30	30	ascendancy-tier-display	100	1444	25	25	levelreq	100		19	19																																																											0
Ascend to Guardian	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Guardian						useitem			100	sor	100		2	2	str	100		30	30	ac	100		150	150	ascendancy-tier-display	100	1445	29	29	levelreq	100		19	19																																																											0
Ascend to Lich	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Lich						useitem			100	sor	100		2	2	str	100		30	30	vit	100		30	30	ascendancy-tier-display	100	1446	33	33	levelreq	100		19	19																																																											0
Ascend to Pathfinder	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Pathfinder						useitem			100	sor	100		2	2	res-pois	100		40	40	vit	100		30	30	ascendancy-tier-display	100	1447	37	37	levelreq	100		19	19																																																											0
Ascend to Spirit Walker	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Spirit Walker						useitem			100	sor	100		2	2	red-dmg%	100		10	10	vit	100		30	30	ascendancy-tier-display	100	1448	41	41	levelreq	100		19	19																																																											0
Ascend to Deadeye	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Deadeye						useitem			100	sor	100		2	2	att	100		250	250	dex	100		30	30	ascendancy-tier-display	100	1449	45	45	levelreq	100		19	19																																																											0
Ascend to Chieftain	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Chieftain						useitem			100	sor	100		2	2	vit	100		50	50						ascendancy-tier-display	100	1461	49	49	levelreq	100		19	19																																																											0
Ascend to Saboteur	1			100	18	296	0	sor	2	Ascendancy Cairn	Ascend to Saboteur						useitem			100	sor	100		2	2	vit	100		30	30	regen-mana	100		100	100	ascendancy-tier-display	100	1990	53	53	levelreq	100		19	19																																																											0
																																																																																																								0
ASCEND TO TIER 1 - Druid																																																																																																								0
Ascend to Bloodmage	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Bloodmage						useitem			100	dru	100		2	2	vit	100		30	30	enr	100		30	30	ascendancy-tier-display	100	1438	1	1	levelreq	100		19	19																																																											0
Ascend to Chronomancer	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Chronomancer						useitem			100	dru	100		2	2	cast3	100		20	20	swing3	100		20	20	ascendancy-tier-display	100	1439	5	5	levelreq	100		19	19																																																											0
Ascend to Juggernaut	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Juggernaut						useitem			100	dru	100		2	2	str	100		40	40	dex	100		40	40	ascendancy-tier-display	100	1440	9	9	levelreq	100		19	19																																																											0
Ascend to Hierophant	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Hierophant						useitem			100	dru	100		2	2	mana	100		100	100	regen-mana	100		200	200	ascendancy-tier-display	100	1441	13	13	levelreq	100		19	19																																																											0
Ascend to Berserker	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Berserker						useitem			100	dru	100		2	2	str	100		40	40	vit	100		40	40	ascendancy-tier-display	100	1442	17	17	levelreq	100		19	19																																																											0
Ascend to Elementalist	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Elementalist						useitem			100	dru	100		2	2	enr	100		40	40	cast3	100		25	25	ascendancy-tier-display	100	1443	21	21	levelreq	100		19	19																																																											0
Ascend to Occultist	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Occultist						useitem			100	dru	100		2	2	curse-effect	100		10	10	enr	100		30	30	ascendancy-tier-display	100	1444	25	25	levelreq	100		19	19																																																											0
Ascend to Guardian	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Guardian						useitem			100	dru	100		2	2	str	100		30	30	ac	100		150	150	ascendancy-tier-display	100	1445	29	29	levelreq	100		19	19																																																											0
Ascend to Lich	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Lich						useitem			100	dru	100		2	2	str	100		30	30	vit	100		30	30	ascendancy-tier-display	100	1446	33	33	levelreq	100		19	19																																																											0
Ascend to Pathfinder	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Pathfinder						useitem			100	dru	100		2	2	res-pois	100		40	40	vit	100		30	30	ascendancy-tier-display	100	1447	37	37	levelreq	100		19	19																																																											0
Ascend to Spirit Walker	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Spirit Walker						useitem			100	dru	100		2	2	red-dmg%	100		10	10	vit	100		30	30	ascendancy-tier-display	100	1448	41	41	levelreq	100		19	19																																																											0
Ascend to Deadeye	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Deadeye						useitem			100	dru	100		2	2	att	100		250	250	dex	100		30	30	ascendancy-tier-display	100	1449	45	45	levelreq	100		19	19																																																											0
Ascend to Chieftain	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Chieftain						useitem			100	dru	100		2	2	vit	100		50	50						ascendancy-tier-display	100	1461	49	49	levelreq	100		19	19																																																											0
Ascend to Saboteur	1			100	18	296	0	dru	2	Ascendancy Cairn	Ascend to Saboteur						useitem			100	dru	100		2	2	vit	100		30	30	regen-mana	100		100	100	ascendancy-tier-display	100	1990	53	53	levelreq	100		19	19																																																											0
																																																																																																								0
ASCEND TO TIER 1 - Assassin																																																																																																								0
Ascend to Bloodmage	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Bloodmage						useitem			100	ass	100		2	2	vit	100		30	30	enr	100		30	30	ascendancy-tier-display	100	1438	1	1	levelreq	100		19	19																																																											0
Ascend to Chronomancer	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Chronomancer						useitem			100	ass	100		2	2	cast3	100		20	20	swing3	100		20	20	ascendancy-tier-display	100	1439	5	5	levelreq	100		19	19																																																											0
Ascend to Juggernaut	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Juggernaut						useitem			100	ass	100		2	2	str	100		40	40	dex	100		40	40	ascendancy-tier-display	100	1440	9	9	levelreq	100		19	19																																																											0
Ascend to Hierophant	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Hierophant						useitem			100	ass	100		2	2	mana	100		100	100	regen-mana	100		200	200	ascendancy-tier-display	100	1441	13	13	levelreq	100		19	19																																																											0
Ascend to Berserker	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Berserker						useitem			100	ass	100		2	2	str	100		40	40	vit	100		40	40	ascendancy-tier-display	100	1442	17	17	levelreq	100		19	19																																																											0
Ascend to Elementalist	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Elementalist						useitem			100	ass	100		2	2	enr	100		40	40	cast3	100		25	25	ascendancy-tier-display	100	1443	21	21	levelreq	100		19	19																																																											0
Ascend to Occultist	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Occultist						useitem			100	ass	100		2	2	curse-effect	100		10	10	enr	100		30	30	ascendancy-tier-display	100	1444	25	25	levelreq	100		19	19																																																											0
Ascend to Guardian	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Guardian						useitem			100	ass	100		2	2	str	100		30	30	ac	100		150	150	ascendancy-tier-display	100	1445	29	29	levelreq	100		19	19																																																											0
Ascend to Lich	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Lich						useitem			100	ass	100		2	2	str	100		30	30	vit	100		30	30	ascendancy-tier-display	100	1446	33	33	levelreq	100		19	19																																																											0
Ascend to Pathfinder	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Pathfinder						useitem			100	ass	100		2	2	res-pois	100		40	40	vit	100		30	30	ascendancy-tier-display	100	1447	37	37	levelreq	100		19	19																																																											0
Ascend to Spirit Walker	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Spirit Walker						useitem			100	ass	100		2	2	red-dmg%	100		10	10	vit	100		30	30	ascendancy-tier-display	100	1448	41	41	levelreq	100		19	19																																																											0
Ascend to Deadeye	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Deadeye						useitem			100	ass	100		2	2	att	100		250	250	dex	100		30	30	ascendancy-tier-display	100	1449	45	45	levelreq	100		19	19																																																											0
Ascend to Chieftain	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Chieftain						useitem			100	ass	100		2	2	vit	100		50	50						ascendancy-tier-display	100	1461	49	49	levelreq	100		19	19																																																											0
Ascend to Saboteur	1			100	18	296	0	ass	2	Ascendancy Cairn	Ascend to Saboteur						useitem			100	ass	100		2	2	vit	100		30	30	regen-mana	100		100	100	ascendancy-tier-display	100	1990	53	53	levelreq	100		19	19																																																											0
																																																																																																								0
ASCEND TO TIER 2																																																																																																								0
Ascend to Bloodmage - Tier 2	1			100	18	296	1		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	cast3	100		25	25	hp	100		100	100						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Chronomancer - Tier 2	1			100	18	296	5		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	cooldown-reduction	100		20	20	skill-duration	100		25	25						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Juggernaut - Tier 2	1			100	18	296	9		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	gethit-skill	100	665	25	1	balance3	100		30	30						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Hierophant - Tier 2	1			100	18	296	13		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	mana%	100		40	40	dmg-to-mana	100		30	30						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Berserker - Tier 2	1			100	18	296	17		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	attack-strikes	100		1	1	swing3	100		30	30						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Elementalist - Tier 2	1			100	18	296	21		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	spell-projectiles	100		1	1	abs-fire-cold-ltng-%	100		4	4						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Occultist - Tier 2	1			100	18	296	25		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	abs-mag%	100		5	5	pierce-mag	100		15	15						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Guardian - Tier 2	1			100	18	296	29		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	res-pois-len	100		50	50	curse-res	100		30	30						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Lich - Tier 2	1			100	18	296	33		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	extra-skele-war	100		3	3	extra-skele-mage	100		6	6	extra-skele-archer	100		4	4	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Pathfinder - Tier 2	1			100	18	296	37		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	move3	100		25	25	buff-effect	100		30	30						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Spirit Walker - Tier 2	1			100	18	296	41		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	extra-spiritwolf	100		3	3	extra-spirits	100		1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Deadeye - Tier 2	1			100	18	296	45		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	attack-projectiles	100		1	1	oskill	100	666	1	1						ascendancy-tier	100		1	1	levelreq	100		-3	-3																																																											0
Ascend to Chieftain - Tier 2	1			100	18	296	49		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	hp%	100		15	15	buff-effect	100		30	30						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Saboteur - Tier 2	1			100	18	296	53		2	Ascendancy Cairn	Ascendancy Tier 2						useitem			100	max-traps	100		1	1	swing1	100		25	25						ascendancy-tier	100		1	1	levelreq	100		19	19																																																											0
																																																																																																								0
ASCEND TO TIER 3																																																																																																								0
Ascend to Bloodmage - Tier 3	1			100	18	296	2		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	hp%	100		25	25											ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Chronomancer - Tier 3	1			100	18	296	6		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	oskill	100	668	1	1	oskill	100	669	1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Juggernaut - Tier 3	1			100	18	296	10		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	res-phys-max	100		3	3	phys-absorb-%	100		3	3	att	100		400	400	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Hierophant - Tier 3	1			100	18	296	14		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	cast-skill	100	671	25	1	mana-kill	100		5	5						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Berserker - Tier 3	1			100	18	296	18		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	aura-hidden	100	673	1	1	static-modifier-display	100	1451	1	1	lifesteal	100		10	10	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Elementalist - Tier 3	1			100	18	296	22		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	cast-skill	100	674	25	1											ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Occultist - Tier 3	1			100	18	296	26		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	kill-skill	100	687	25	1	static-modifier-display	100	1464	1	1	maxcurse	100		1	1	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Guardian - Tier 3	1			100	18	296	30		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	res-all-max	100		5	5	item-increaseattr	100		20	20						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Lich - Tier 3	1			100	18	296	34		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	extra-revives	100		4	4	summon-max-hp	100		30	30	extra-golem	100		1	1	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Pathfinder - Tier 3	1			100	18	296	38		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	cast-hit-skill-hidden	100	679	100	1	static-modifier-display	100	1456	1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Spirit Walker - Tier 3	1			100	18	296	42		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	extra-grizzly	100		2	2	aura-hidden	100	682	1	1	static-modifier-display	100	1458	1	1	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Deadeye - Tier 3	1			100	18	296	46		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	hit-skill-hidden	100	683	50	1	static-modifier-display	100	1459	1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Chieftain - Tier 3	1			100	18	296	50		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	aura-hidden	100	686	1	1	static-modifier-display	100	1463	1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Saboteur - Tier 3	1			100	18	296	54		2	Ascendancy Cairn	Ascendancy Tier 3						useitem			100	aura-hidden	100	692	1	1	static-modifier-display	100	1991	1	1	skill-buff-duration	100		20	20	ascendancy-tier	100		1	1	levelreq	100		19	19																																																											0
																																																																																																								0
ASCEND TO TIER 4																																																																																																								0
Ascend to Bloodmage - Tier 4	1			100	18	296	3		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	aura-hidden	100	667	1	1	static-modifier-display	100	1424	1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Chronomancer - Tier 4	1			100	18	296	7		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	cooldown-reduction-fixed	100		1	1	skill-frequency	100		20	20						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Juggernaut - Tier 4	1			100	18	296	11		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	aura-hidden	100	670	1	1	static-modifier-display	100	1437	1	1	max-endurance-charge	100		3	3	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Hierophant - Tier 4	1			100	18	296	15		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	aura-hidden	100	672	1	1	static-modifier-display	100	1450	1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Berserker - Tier 4	1			100	18	296	19		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	max-attack-strikes	100		1	1	red-dmg%	100		-20	-20	dmg%	100		250	250	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Elementalist - Tier 4	1			100	18	296	23		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	max-spell-projectiles	100		1	1	aura-hidden	100	675	1	1	static-modifier-display	100	1452	1	1	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Occultist - Tier 4	1			100	18	296	27		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	aura-hidden	100	676	1	1	static-modifier-display	100	1453	1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Guardian - Tier 4	1			100	18	296	31		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	aura-hidden	100	677	1	1	static-modifier-display	100	1454	1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Lich - Tier 4	1			100	18	296	35		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	aura	100	678	1	1	static-modifier-display	100	1455	1	1						ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Pathfinder - Tier 4	1			100	18	296	39		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	cast-skill	100	680	35	1	hit-skill	100	680	20	1	static-modifier-display	100	1457	1	1	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Spirit Walker - Tier 4	1			100	18	296	43		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	oskill	100	681	1	1											ascendancy-tier	100		1	1	levelreq	100		14	14																																																											0
Ascend to Deadeye - Tier 4	1			100	18	296	47		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	max-attack-projectiles	100		1	1	aura-hidden	100	684	1	1	static-modifier-display	100	1460	1	1	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Chieftain - Tier 4	1			100	18	296	51		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	kill-skill	100	685	25	1	pierce-fire	100		20	20	static-modifier-display	100	1462	1	1	ascendancy-tier	100		1	1	levelreq	100		20	20																																																											0
Ascend to Saboteur - Tier 4	1			100	18	296	55		2	Ascendancy Cairn	Ascendancy Tier 4						useitem			100	ascendancy-scaling	100		2	2	static-modifier-display	100	1992	1	1	max-traps	100		1	1	ascendancy-tier	100		1	1	levelreq	100		19	19																																																											0
																																																																																																								0
ASCENDANCY RESET																																																																																																								0
Reset Bloodmage - Tier 1	1			100	18	296	1		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Bloodmage																																																										0
Reset Chronomancer - Tier 1	1			100	18	296	5		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Chronomancer																																																										0
Reset Juggernaut - Tier 1	1			100	18	296	9		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Juggernaut																																																										0
Reset Hierophant - Tier 1	1			100	18	296	13		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Hierophant																																																										0
Reset Berserker - Tier 1	1			100	18	296	17		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Berserker																																																										0
Reset Elementalist - Tier 1	1			100	18	296	21		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Elementalist																																																										0
Reset Occultist - Tier 1	1			100	18	296	25		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Occultist																																																										0
Reset Guardian - Tier 1	1			100	18	296	29		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Guardian																																																										0
Reset Lich - Tier 1	1			100	18	296	33		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Lich																																																										0
Reset Pathfinder - Tier 1	1			100	18	296	37		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Pathfinder																																																										0
Reset Spirit Walker - Tier 1	1			100	18	296	41		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Spirit Walker																																																										0
Reset Deadeye - Tier 1	1			100	18	296	45		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Deadeye																																																										0
Reset Chieftain - Tier 1	1			100	18	296	49		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Chieftain																																																										0
Reset Saboteur - Tier 1	1			100	18	296	53		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Saboteur																																																										0
																																																																																																								0
Reset Bloodmage - Tier 2	1			100	18	296	2		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Bloodmage																													Ascendancy Tier 2																													0
Reset Chronomancer - Tier 2	1			100	18	296	6		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Chronomancer																													Ascendancy Tier 2																													0
Reset Juggernaut - Tier 2	1			100	18	296	10		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Juggernaut																													Ascendancy Tier 2																													0
Reset Hierophant - Tier 2	1			100	18	296	14		2	Ascendancy Cairn	toa						Ascendancy Cairn	99																												Ascend to Hierophant																													Ascendancy Tier 2																													0
